Ticker,Model,Year,S0,Probability Up,Predicted,Actual,Actual Return (%),APE (%),VaR (%),ES (%),Lower CI,Upper CI
KO,Jump Diffusion,2021,45.4367790222168,0.6439,48.721309070973916,46.558677673339844,2.46914212509316,4.644958804043582,-19.07759551977419,-24.593131815601826,36.76853410314467,62.43067908578915
KO,Jump Diffusion,2022,46.558677673339844,0.6403,50.96906377103895,51.85356140136719,11.372495939804727,1.7057606197612492,-23.097797498544157,-29.590283754227308,35.80464858635192,69.01257475712274
KO,Jump Diffusion,2023,51.85356140136719,0.6465,56.91933586777118,57.35499954223633,10.609566618357844,0.7595914531292486,-23.024000752948602,-29.384796132465762,39.91479703388574,77.72911812414205
KO,Jump Diffusion,2024,57.35499954223633,0.6222,62.62547255366072,54.81157684326172,-4.434526578806139,14.25592212525374,-24.481669793931413,-30.665463809374206,43.31353794399516,86.49018907056069
KO,Jump Diffusion,2025,54.81157684326172,0.5861,58.46794125215818,59.6774787902832,8.877507685896243,2.0267906128801902,-25.831241178428215,-31.882469110715434,40.653066235179274,80.20760351839823
NVDA,GARCH,2016,0.4805058538913727,0.6732,0.6755594115722284,0.8030001521110535,67.11558154972793,15.870574893888714,-44.63375778886151,-54.66054582182443,0.26603803490419664,1.3580449788156945
NVDA,GARCH,2017,0.8030001521110535,0.6788,1.1275067030633508,2.625490427017212,226.9601406817805,57.05538700652215,-43.90650162046899,-54.17072360494012,0.45043087731204534,2.250687809551184
NVDA,GARCH,2018,2.625490427017212,0.7038,4.132321281440546,4.778075695037842,81.98793055460331,13.514947330531601,-47.13836893487039,-59.25224961678597,1.3878770631801345,8.855175914673888
NVDA,GARCH,2019,4.778075695037842,0.7478,7.092434734888724,3.3057000637054443,-30.81524289917589,114.55167130131676,-36.20808056740848,-46.650569054277625,3.0480261978067773,13.280857645434123
NVDA,GARCH,2020,3.3057000637054443,0.8028,5.291235655890365,5.849206924438477,76.94306233826761,9.539263625926129,-29.696011334925952,-41.30890376834622,2.324038998088821,9.998439219287803
NVDA,GARCH,2021,5.849206924438477,0.7895,9.08618524824172,13.002532005310059,122.29564064462124,30.119877847398925,-29.45117967304648,-40.78799102781789,4.126546483673825,16.611654336659605
NVDA,GARCH,2022,13.002532005310059,0.8473,22.295482054519194,29.318378448486328,125.48207100365605,23.953904566402503,-24.59490249569267,-36.80163471140812,9.804571936632817,41.626590346740926
NVDA,GARCH,2023,29.318378448486328,0.8961,54.62931159519967,14.581599235534668,-50.264646248580306,274.6455427335475,-14.431263732550537,-27.441252712028053,25.087365932478008,101.83994479479955
NVDA,GARCH,2024,14.581599235534668,0.8455,26.804411723952867,49.43413543701172,239.01724110304082,45.77752500980487,-26.470741917888276,-39.949484241109765,10.721741734395517,53.03450597875732
NVDA,GARCH,2025,49.43413543701172,0.8949,100.37923457121872,134.08973693847656,171.24928099396382,25.140255426651333,-18.05576824764071,-31.12960794522321,40.50842250728005,196.5864676535168
NVDA,GBM,2016,0.4805058538913727,0.5854,0.6032803809073385,0.8030001521110535,67.11558154972793,24.87169780462185,-49.462592463337515,-58.71239644452415,0.242835201618603,1.1891701902953753
NVDA,GBM,2017,0.8030001521110535,0.5892,1.0078154036115483,2.625490427017212,226.9601406817805,61.61420383632801,-50.205572650857434,-58.73305353000289,0.39984932735644285,1.9634337699393578
NVDA,GBM,2018,2.625490427017212,0.6316,3.4526860166220574,4.778075695037842,81.98793055460331,27.738984541250293,-47.13430535221584,-56.42339235253693,1.3879837521537237,6.765393551055186
NVDA,GBM,2019,4.778075695037842,0.6511,6.466680509388302,3.3057000637054443,-30.81524289917589,95.62211890874435,-44.89905408953599,-53.9421688223002,2.6327649042838286,12.732032780789453
NVDA,GBM,2020,3.3057000637054443,0.7458,4.81728842066944,5.849206924438477,76.94306233826761,17.642024245331353,-34.61280592177306,-44.193420846429895,2.1615045162991504,8.898135640812068
NVDA,GBM,2021,5.849206924438477,0.7409,8.261248006697176,13.002532005310059,122.29564064462124,36.46431323281193,-32.710919404581965,-42.4861671324665,3.9358775615781787,14.932158707583508
NVDA,GBM,2022,13.002532005310059,0.7937,20.24557966911008,29.318378448486328,125.48207100365605,30.94577278657329,-28.49649003308654,-39.277148726715794,9.29726676836799,37.21675438799248
NVDA,GBM,2023,29.318378448486328,0.8636,50.02434953925337,14.581599235534668,-50.264646248580306,243.06490482433776,-20.210752332676336,-32.74630869180501,23.392913592306,89.42323342288337
NVDA,GBM,2024,14.581599235534668,0.803,23.58159982771318,49.43413543701172,239.01724110304082,52.29693081664082,-28.61954566717719,-39.62015104965316,10.408411783316064,44.71805279832161
NVDA,GBM,2025,49.43413543701172,0.8535,89.41951820126118,134.08973693847656,171.24928099396382,33.3136746757219,-23.94794656865566,-36.56377670978607,37.59567509587928,173.3185022568706
NVDA,Historical Bootstrap,2016,0.4805058538913727,0.5892,0.6049669008602906,0.8030001521110535,67.11558154972793,24.661670453005748,-49.9924417994986,-58.539834812112645,0.2402892445415444,1.2014219841700684
NVDA,Historical Bootstrap,2017,0.8030001521110535,0.5888,1.0004703960970098,2.625490427017212,226.9601406817805,61.89396137948855,-51.12705635987771,-60.06094841888069,0.3924498117713314,1.9722408821832518
NVDA,Historical Bootstrap,2018,2.625490427017212,0.634,3.47167723488123,4.778075695037842,81.98793055460331,27.341518710416018,-47.518104045142856,-56.461632340324805,1.3779071542119077,6.871812511074581
NVDA,Historical Bootstrap,2019,4.778075695037842,0.6499,6.434238600274062,3.3057000637054443,-30.81524289917589,94.6407259060811,-44.6373116586585,-54.63658310582345,2.6452711557571873,12.478567698983728
NVDA,Historical Bootstrap,2020,3.3057000637054443,0.7418,4.78126098658633,5.849206924438477,76.94306233826761,18.257961321049855,-34.661754547088734,-44.457749590541965,2.1598864215609073,8.790203868127223
NVDA,Historical Bootstrap,2021,5.849206924438477,0.7388,8.247601709730876,13.002532005310059,122.29564064462124,36.569264306654524,-32.557207395458754,-43.08522964133882,3.944868495059507,14.881344633656074
NVDA,Historical Bootstrap,2022,13.002532005310059,0.8014,20.327608681912,29.318378448486328,125.48207100365605,30.665985782165624,-27.84579653605208,-38.2471510223652,9.381873398576367,36.97711574602585
NVDA,Historical Bootstrap,2023,29.318378448486328,0.8652,49.6309927998764,14.581599235534668,-50.264646248580306,240.36728069530272,-19.81544169566422,-31.959879477369057,23.508812260912336,88.5343955164316
NVDA,Historical Bootstrap,2024,14.581599235534668,0.8094,23.793261774961564,49.43413543701172,239.01724110304082,51.8687612019055,-29.00904556759168,-40.69895218979584,10.351616468814816,44.81986776024091
NVDA,Historical Bootstrap,2025,49.43413543701172,0.8584,89.72750763311207,134.08973693847656,171.24928099396382,33.08398563397802,-22.55654362020473,-35.43310814955197,38.283503113891086,172.82588348121303
NVDA,Jump Diffusion,2016,0.4805058538913727,0.5641,0.6097228456116607,0.8030001521110535,67.11558154972793,24.06939849155382,-55.03672493567979,-63.623911302513335,0.2160511687853385,1.280529121488196
NVDA,Jump Diffusion,2017,0.8030001521110535,0.5767,1.0204509563976831,2.625490427017212,226.9601406817805,61.132939358799895,-54.126364920856375,-62.80557384971011,0.3683653594643929,2.10144826790439
NVDA,Jump Diffusion,2018,2.625490427017212,0.6262,3.639912273026252,4.778075695037842,81.98793055460331,23.820539787463026,-51.06990140000479,-60.66576326158783,1.284655054672957,7.828445227676102
NVDA,Jump Diffusion,2019,4.778075695037842,0.6754,7.0593294936118935,3.3057000637054443,-30.81524289917589,113.55021198441426,-48.07804152394975,-57.735329831832246,2.4808704783317976,14.861445808629338
NVDA,Jump Diffusion,2020,3.3057000637054443,0.7536,5.166944310027311,5.849206924438477,76.94306233826761,11.664190089781485,-36.23881768289855,-47.43775816094432,2.107753444475767,10.12862699821322
NVDA,Jump Diffusion,2021,5.849206924438477,0.7637,9.059709786079111,13.002532005310059,122.29564064462124,30.32349559009547,-33.33444520954478,-43.92807301470065,3.899406247018633,17.386985986077313
NVDA,Jump Diffusion,2022,13.002532005310059,0.8117,22.43173568198608,29.318378448486328,125.48207100365605,23.48916662836719,-28.972170584751193,-41.2743446494881,9.235416252394758,44.059288989933385
NVDA,Jump Diffusion,2023,29.318378448486328,0.8741,55.52636716993602,14.581599235534668,-50.264646248580306,280.7975124883483,-20.09744991493808,-31.911976658053405,23.42613202392979,106.89885043918379
NVDA,Jump Diffusion,2024,14.581599235534668,0.8261,26.220175203554902,49.43413543701172,239.01724110304082,46.95937337274912,-30.104280348709896,-41.896659058383996,10.191913722343973,52.892867844653836
NVDA,Jump Diffusion,2025,49.43413543701172,0.8718,103.81028407148733,134.08973693847656,171.24928099396382,22.58148427935401,-23.053981819544312,-37.0309556819006,38.037598840714125,213.88694732389007
SPY,GARCH,2016,169.77870178222656,0.7159,189.66129251139392,171.87428283691406,1.2343014952343556,10.348848810241948,-17.611204141629447,-24.89414390677009,139.87862802235037,248.10373517508057
SPY,GARCH,2017,171.87428283691406,0.6987,191.15582130243183,192.4955291748047,11.997866113255267,0.6959683054021842,-18.99589417794018,-26.228968919893113,139.22522595012026,255.182539015532
SPY,GARCH,2018,192.4955291748047,0.6979,214.4609369495444,234.2774658203125,21.705406263002473,8.458572317820403,-18.75336291762953,-25.857936015477012,156.39614398844213,284.8966742529145
SPY,GARCH,2019,234.2774658203125,0.7332,264.6403170391974,223.57337951660156,-4.568978184150592,18.36843796492613,-17.57392660785732,-25.698360442703148,193.10571591830276,350.4166922108851
SPY,GARCH,2020,223.57337951660156,0.7984,259.19773636548035,293.38165283203125,31.22387534077868,11.651688555358332,-12.667574828093139,-19.820863034035035,195.2520543706394,335.3818641448154
SPY,GARCH,2021,293.38165283203125,0.8259,340.0251142659923,347.16326904296875,18.33162220329057,2.056137677426059,-10.186425522780068,-16.893367326091447,263.4965492687952,432.4321994968304
SPY,GARCH,2022,347.16326904296875,0.8153,405.5119796303803,446.89892578125,28.72874685539871,9.26091869174193,-11.582096688136016,-18.948165433126498,306.95448355671834,523.7028996225526
SPY,GARCH,2023,446.89892578125,0.8651,532.4528305586102,365.67340087890625,-18.175368123865745,45.608849120238155,-7.76845505276852,-14.200837362067222,412.18178360062825,678.8763721519929
SPY,GARCH,2024,365.67340087890625,0.7822,423.961282208093,461.3913879394531,26.175813398099514,8.112441348010588,-14.776858892455632,-23.287627333065032,311.63835842378666,558.5238378932589
SPY,GARCH,2025,461.3913879394531,0.7871,535.339815439105,576.2152709960938,24.886438294706224,7.093782066262845,-14.483240584967891,-23.1913648736097,394.5669631858596,697.7399877183235
SPY,GBM,2016,169.77870178222656,0.6421,186.6699679199929,171.87428283691406,1.2343014952343556,8.608434513218004,-22.557274493429997,-28.474769635139985,131.4812539898278,255.26670314035553
SPY,GBM,2017,171.87428283691406,0.6299,188.2947841713023,192.4955291748047,11.997866113255267,2.1822558796613425,-23.756781519496283,-29.941700399375833,131.0424849751473,257.9921408523371
SPY,GBM,2018,192.4955291748047,0.6274,210.40475116578332,234.2774658203125,21.705406263002473,10.189932083711033,-23.926552620021592,-30.444293672962463,146.43798509560602,290.00118303004587
SPY,GBM,2019,234.2774658203125,0.6562,259.6436812352201,223.57337951660156,-4.568978184150592,16.133540494225112,-22.546468994938035,-28.824249394971694,181.4561696270092,356.5895703665444
SPY,GBM,2020,223.57337951660156,0.7665,255.46702640553713,293.38165283203125,31.22387534077868,12.923312027354775,-14.040546058174971,-19.703069712034726,192.1824561917548,331.41351987733475
