Ticker,Model,Strategy,Year,Probability Up,Expected Return (%),Decision,Predicted,Actual,Actual Return (%),VaR (%),ES (%),Strategy Return (%)
KO,GARCH,Probability + VaR,2016,0.7498,14.190254922530348,BUY,33.62453118494199,30.95953941345215,5.139836105415289,-15.473797041426703,-21.995732718041257,5.139836105415289
KO,GARCH,Probability + VaR,2017,0.7473,14.30807202794289,BUY,35.38925261224825,30.848989486694336,-0.3570787190386228,-15.860814792845993,-22.390121082517002,-0.3570787190386228
KO,GARCH,Probability + VaR,2018,0.7214,12.586856500023627,BUY,34.73190752509193,35.28571701049805,14.382083814179206,-16.39068916902651,-22.233385327444413,14.382083814179206
KO,GARCH,Probability + VaR,2019,0.6939,10.63867218807101,HOLD,39.039648772455344,37.67578887939453,6.77348250620896,-17.312397780144433,-23.129918184647323,0.0
KO,GARCH,Probability + VaR,2020,0.7753,13.309465905609486,BUY,42.690235154966956,45.4367790222168,20.59940978984217,-13.26660186298815,-18.777134503419237,20.59940978984217
KO,GARCH,Probability + VaR,2021,0.7686,12.648349641701234,BUY,51.183781698873936,46.558677673339844,2.46914212509316,-12.739337776614935,-18.032442741806705,2.46914212509316
KO,GARCH,Probability + VaR,2022,0.7197,11.962423037841544,BUY,52.12822365744984,51.85356140136719,11.372495939804727,-15.709632369965476,-21.25534044334866,11.372495939804727
KO,GARCH,Probability + VaR,2023,0.7223,11.78117882069225,BUY,57.96252219495971,57.35499954223633,10.609566618357844,-15.699231406481251,-21.656944046495425,10.609566618357844
KO,GARCH,Probability + VaR,2024,0.7196,12.153518455798896,BUY,64.32564999692539,54.81157684326172,-4.434526578806139,-17.215660784883376,-23.07249295955254,-4.434526578806139
KO,GARCH,Probability + VaR,2025,0.6914,10.584538146618181,HOLD,60.61312910299969,59.6774787902832,8.877507685896243,-17.506804842382145,-22.83286718346693,0.0
KO,GBM,Expected Return,2016,0.7157,12.698221411440306,BUY,33.185186099350744,30.95953941345215,5.139836105415289,-18.72639429386372,-24.521773186951563,5.139836105415289
KO,GBM,Expected Return,2017,0.7032,12.554825600640765,BUY,34.846455593572706,30.848989486694336,-0.3570787190386228,-18.71425847110355,-24.832622553223853,-0.3570787190386228
KO,GBM,Expected Return,2018,0.667,10.782813968971299,BUY,34.1753786343521,35.28571701049805,14.382083814179206,-19.94300621808059,-25.434469462643072,14.382083814179206
KO,GBM,Expected Return,2019,0.6472,9.166544817798856,HOLD,38.520198074547025,37.67578887939453,6.77348250620896,-21.242324014648265,-27.023873638277145,0.0
KO,GBM,Expected Return,2020,0.7409,12.036811972129064,BUY,42.21075274582356,45.4367790222168,20.59940978984217,-14.41634972821531,-19.5449901571507,20.59940978984217
KO,GBM,Expected Return,2021,0.7483,11.387170292024873,BUY,50.61074242468766,46.558677673339844,2.46914212509316,-13.9543325375864,-18.686327011822083,2.46914212509316
KO,GBM,Expected Return,2022,0.6841,10.486101021530422,BUY,51.44086764845499,51.85356140136719,11.372495939804727,-18.87012006061377,-24.55390197848875,11.372495939804727
KO,GBM,Expected Return,2023,0.6874,10.386320709544759,BUY,57.239238587833896,57.35499954223633,10.609566618357844,-18.933279357760867,-24.796740391059544,10.609566618357844
KO,GBM,Expected Return,2024,0.6849,10.737638714963591,BUY,63.51357217805069,54.81157684326172,-4.434526578806139,-18.702905288829772,-24.7816147197149,-4.434526578806139
KO,GBM,Expected Return,2025,0.6498,8.869140809306773,HOLD,59.672892773291984,59.6774787902832,8.877507685896243,-20.353895404127716,-25.67388176030872,0.0
KO,GBM,Probability,2016,0.7157,12.698221411440306,BUY,33.185186099350744,30.95953941345215,5.139836105415289,-18.72639429386372,-24.521773186951563,5.139836105415289
KO,GBM,Probability,2017,0.7032,12.554825600640765,BUY,34.846455593572706,30.848989486694336,-0.3570787190386228,-18.71425847110355,-24.832622553223853,-0.3570787190386228
KO,GBM,Probability,2018,0.667,10.782813968971299,HOLD,34.1753786343521,35.28571701049805,14.382083814179206,-19.94300621808059,-25.434469462643072,0.0
KO,GBM,Probability,2019,0.6472,9.166544817798856,HOLD,38.520198074547025,37.67578887939453,6.77348250620896,-21.242324014648265,-27.023873638277145,0.0
KO,GBM,Probability,2020,0.7409,12.036811972129064,BUY,42.21075274582356,45.4367790222168,20.59940978984217,-14.41634972821531,-19.5449901571507,20.59940978984217
KO,GBM,Probability,2021,0.7483,11.387170292024873,BUY,50.61074242468766,46.558677673339844,2.46914212509316,-13.9543325375864,-18.686327011822083,2.46914212509316
KO,GBM,Probability,2022,0.6841,10.486101021530422,HOLD,51.44086764845499,51.85356140136719,11.372495939804727,-18.87012006061377,-24.55390197848875,0.0
KO,GBM,Probability,2023,0.6874,10.386320709544759,HOLD,57.239238587833896,57.35499954223633,10.609566618357844,-18.933279357760867,-24.796740391059544,0.0
KO,GBM,Probability,2024,0.6849,10.737638714963591,HOLD,63.51357217805069,54.81157684326172,-4.434526578806139,-18.702905288829772,-24.7816147197149,0.0
KO,GBM,Probability,2025,0.6498,8.869140809306773,HOLD,59.672892773291984,59.6774787902832,8.877507685896243,-20.353895404127716,-25.67388176030872,0.0
KO,GBM,Probability + VaR,2016,0.7157,12.698221411440306,BUY,33.185186099350744,30.95953941345215,5.139836105415289,-18.72639429386372,-24.521773186951563,5.139836105415289
KO,GBM,Probability + VaR,2017,0.7032,12.554825600640765,BUY,34.846455593572706,30.848989486694336,-0.3570787190386228,-18.71425847110355,-24.832622553223853,-0.3570787190386228
KO,GBM,Probability + VaR,2018,0.667,10.782813968971299,HOLD,34.1753786343521,35.28571701049805,14.382083814179206,-19.94300621808059,-25.434469462643072,0.0
KO,GBM,Probability + VaR,2019,0.6472,9.166544817798856,HOLD,38.520198074547025,37.67578887939453,6.77348250620896,-21.242324014648265,-27.023873638277145,0.0
KO,GBM,Probability + VaR,2020,0.7409,12.036811972129064,BUY,42.21075274582356,45.4367790222168,20.59940978984217,-14.41634972821531,-19.5449901571507,20.59940978984217
KO,GBM,Probability + VaR,2021,0.7483,11.387170292024873,BUY,50.61074242468766,46.558677673339844,2.46914212509316,-13.9543325375864,-18.686327011822083,2.46914212509316
KO,GBM,Probability + VaR,2022,0.6841,10.486101021530422,HOLD,51.44086764845499,51.85356140136719,11.372495939804727,-18.87012006061377,-24.55390197848875,0.0
KO,GBM,Probability + VaR,2023,0.6874,10.386320709544759,HOLD,57.239238587833896,57.35499954223633,10.609566618357844,-18.933279357760867,-24.796740391059544,0.0
KO,GBM,Probability + VaR,2024,0.6849,10.737638714963591,HOLD,63.51357217805069,54.81157684326172,-4.434526578806139,-18.702905288829772,-24.7816147197149,0.0
KO,GBM,Probability + VaR,2025,0.6498,8.869140809306773,HOLD,59.672892773291984,59.6774787902832,8.877507685896243,-20.353895404127716,-25.67388176030872,0.0
KO,Historical Bootstrap,Expected Return,2016,0.7005,12.15138079451078,BUY,33.02416308219736,30.95953941345215,5.139836105415289,-18.581156772653813,-24.31843373108357,5.139836105415289
KO,Historical Bootstrap,Expected Return,2017,0.7105,12.745110182235884,BUY,34.90536682360937,30.848989486694336,-0.3570787190386228,-18.174231978263137,-24.044354464576656,-0.3570787190386228
KO,Historical Bootstrap,Expected Return,2018,0.6731,10.714623916360264,BUY,34.15434269219115,35.28571701049805,14.382083814179206,-20.38657326071463,-26.256585841931372,14.382083814179206
KO,Historical Bootstrap,Expected Return,2019,0.6502,9.142320229584575,HOLD,38.511650254902776,37.67578887939453,6.77348250620896,-20.50852754887172,-26.514607673067925,0.0
KO,Historical Bootstrap,Expected Return,2020,0.7476,12.490479119145977,BUY,42.38167542234883,45.4367790222168,20.59940978984217,-13.789769642445664,-18.9735781906834,20.59940978984217
KO,Historical Bootstrap,Expected Return,2021,0.7498,11.404597716136,BUY,50.618660884870295,46.558677673339844,2.46914212509316,-13.808775210621171,-19.377606847771535,2.46914212509316
KO,Historical Bootstrap,Expected Return,2022,0.6806,10.19214779244079,BUY,51.304006912012774,51.85356140136719,11.372495939804727,-19.198473724077616,-24.86427042324685,11.372495939804727
KO,Historical Bootstrap,Expected Return,2023,0.687,10.512546337041611,BUY,57.304691071092236,57.35499954223633,10.609566618357844,-17.827795840885248,-23.795496824430536,10.609566618357844
KO,Historical Bootstrap,Expected Return,2024,0.6814,10.82598727962323,BUY,63.564244496906795,54.81157684326172,-4.434526578806139,-19.005996640144566,-24.90655958838182,-4.434526578806139
KO,Historical Bootstrap,Expected Return,2025,0.6547,8.980708643700952,HOLD,59.73404486257331,59.6774787902832,8.877507685896243,-20.626763293032628,-26.54341951054669,0.0
KO,Historical Bootstrap,Probability,2016,0.7005,12.15138079451078,BUY,33.02416308219736,30.95953941345215,5.139836105415289,-18.581156772653813,-24.31843373108357,5.139836105415289
KO,Historical Bootstrap,Probability,2017,0.7105,12.745110182235884,BUY,34.90536682360937,30.848989486694336,-0.3570787190386228,-18.174231978263137,-24.044354464576656,-0.3570787190386228
KO,Historical Bootstrap,Probability,2018,0.6731,10.714623916360264,HOLD,34.15434269219115,35.28571701049805,14.382083814179206,-20.38657326071463,-26.256585841931372,0.0
KO,Historical Bootstrap,Probability,2019,0.6502,9.142320229584575,HOLD,38.511650254902776,37.67578887939453,6.77348250620896,-20.50852754887172,-26.514607673067925,0.0
KO,Historical Bootstrap,Probability,2020,0.7476,12.490479119145977,BUY,42.38167542234883,45.4367790222168,20.59940978984217,-13.789769642445664,-18.9735781906834,20.59940978984217
KO,Historical Bootstrap,Probability,2021,0.7498,11.404597716136,BUY,50.618660884870295,46.558677673339844,2.46914212509316,-13.808775210621171,-19.377606847771535,2.46914212509316
KO,Historical Bootstrap,Probability,2022,0.6806,10.19214779244079,HOLD,51.304006912012774,51.85356140136719,11.372495939804727,-19.198473724077616,-24.86427042324685,0.0
KO,Historical Bootstrap,Probability,2023,0.687,10.512546337041611,HOLD,57.304691071092236,57.35499954223633,10.609566618357844,-17.827795840885248,-23.795496824430536,0.0
KO,Historical Bootstrap,Probability,2024,0.6814,10.82598727962323,HOLD,63.564244496906795,54.81157684326172,-4.434526578806139,-19.005996640144566,-24.90655958838182,0.0
KO,Historical Bootstrap,Probability,2025,0.6547,8.980708643700952,HOLD,59.73404486257331,59.6774787902832,8.877507685896243,-20.626763293032628,-26.54341951054669,0.0
KO,Historical Bootstrap,Probability + VaR,2016,0.7005,12.15138079451078,BUY,33.02416308219736,30.95953941345215,5.139836105415289,-18.581156772653813,-24.31843373108357,5.139836105415289
KO,Historical Bootstrap,Probability + VaR,2017,0.7105,12.745110182235884,BUY,34.90536682360937,30.848989486694336,-0.3570787190386228,-18.174231978263137,-24.044354464576656,-0.3570787190386228
KO,Historical Bootstrap,Probability + VaR,2018,0.6731,10.714623916360264,HOLD,34.15434269219115,35.28571701049805,14.382083814179206,-20.38657326071463,-26.256585841931372,0.0
KO,Historical Bootstrap,Probability + VaR,2019,0.6502,9.142320229584575,HOLD,38.511650254902776,37.67578887939453,6.77348250620896,-20.50852754887172,-26.514607673067925,0.0
KO,Historical Bootstrap,Probability + VaR,2020,0.7476,12.490479119145977,BUY,42.38167542234883,45.4367790222168,20.59940978984217,-13.789769642445664,-18.9735781906834,20.59940978984217
KO,Historical Bootstrap,Probability + VaR,2021,0.7498,11.404597716136,BUY,50.618660884870295,46.558677673339844,2.46914212509316,-13.808775210621171,-19.377606847771535,2.46914212509316
KO,Historical Bootstrap,Probability + VaR,2022,0.6806,10.19214779244079,HOLD,51.304006912012774,51.85356140136719,11.372495939804727,-19.198473724077616,-24.86427042324685,0.0
KO,Historical Bootstrap,Probability + VaR,2023,0.687,10.512546337041611,HOLD,57.304691071092236,57.35499954223633,10.609566618357844,-17.827795840885248,-23.795496824430536,0.0
